name,address,lat,lng,comment,website
1,"48.884322, 2.338833",48.884322,2.338833,Paris 18ème (PA_1???) https://live.staticflickr.com/7310/9320288932_5e3215f8f6_m.jpg,https://www.flickr.com/photos/24406544@N00/9320288932
3,"48.848836, 2.348550",48.848836,2.348550,Paris 5ème (PA_003) https://live.staticflickr.com/509/31499626961_e4f7e06bf6_m.jpg,https://www.flickr.com/photos/24406544@N00/31499626961
4,"48.847122, 2.351102",48.847122,2.351102,Paris 5ème (PA_004) https://live.staticflickr.com/5744/21870220309_1dfff8775c_m.jpg,https://www.flickr.com/photos/24406544@N00/21870220309
7,"48.854102, 2.381769",48.854102,2.381769,Rue Godefroy Cavaignac (PA_7??) https://live.staticflickr.com/165/416257273_d8e6df3350_m.jpg,https://www.flickr.com/photos/24406544@N00/416257273
8,"48.853770, 2.373985",48.853770,2.373985,Paris 11ème (PA_8??) https://live.staticflickr.com/1083/4729098835_1f1f8d8243_m.jpg,https://www.flickr.com/photos/24406544@N00/4729098835
10,"48.842572, 2.386144",48.842572,2.386144,Paris 12ème (PA_10??) https://live.staticflickr.com/3710/9502527674_1c26cf406f_m.jpg,https://www.flickr.com/photos/24406544@N00/9502527674
13,"48.847434, 2.375503",48.847434,2.375503,Paris 12ème (PA_013) https://live.staticflickr.com/3019/2634236139_38aebdaae6_m.jpg,https://www.flickr.com/photos/24406544@N00/2634236139
14,"48.848802, 2.372780",48.848802,2.372780,Paris 12ème (PA_014) https://live.staticflickr.com/8398/29078477644_daa56b5f11_m.jpg,https://www.flickr.com/photos/24406544@N00/29078477644
15,"48.848127, 2.380833",48.848127,2.380833,Paris 12ème (PA_015) https://live.staticflickr.com/8842/28333272606_f6e40448d9_m.jpg,https://www.flickr.com/photos/24406544@N00/28333272606
16,"48.849480, 2.374341",48.849480,2.374341,Paris 12ème (PA_016) https://live.staticflickr.com/7590/28321621185_00262c7bd9_m.jpg,https://www.flickr.com/photos/24406544@N00/28321621185
18,"48.888508, 2.341343",48.888508,2.341343,Rue Saint Vincent (PA_018) https://live.staticflickr.com/2029/2530841981_d1a71aac03_m.jpg,https://www.flickr.com/photos/24406544@N00/2530841981
19,"48.873254, 2.364066",48.873254,2.364066,Pont de la Grange aux Belles (PA_19) https://live.staticflickr.com/7887/33155308718_d8e2f85da5_m.jpg,https://www.flickr.com/photos/24406544@N00/33155308718
21,"48.870283, 2.345570",48.870283,2.345570,Paris 2ème (PA_21) https://live.staticflickr.com/4884/45652179622_6066bf5a15_m.jpg,https://www.flickr.com/photos/24406544@N00/45652179622
24,"48.833452, 2.354443",48.833452,2.354443,Avenue des Gobelins (PA_024) https://live.staticflickr.com/1251/972918589_43324c72f2_m.jpg,https://www.flickr.com/photos/24406544@N00/972918589
25,"48.864658, 2.363326",48.864658,2.363326,Paris 3ème (PA_25) https://live.staticflickr.com/4891/45818214744_c7499eacf5_m.jpg,https://www.flickr.com/photos/24406544@N00/45818214744
27,"48.861189, 2.357972",48.861189,2.357972,Paris 3ème (PA_27) https://live.staticflickr.com/7821/46577380321_80d3448743_m.jpg,https://www.flickr.com/photos/24406544@N00/46577380321
29,"48.862625, 2.359861",48.862625,2.359861,Paris 3ème (PA_29) https://live.staticflickr.com/4846/45964287442_0b3264aceb_m.jpg,https://www.flickr.com/photos/24406544@N00/45964287442
30,"48.861022, 2.350527",48.861022,2.350527,Paris 4ème (PA_030) https://live.staticflickr.com/7587/17011999502_fb57562640_m.jpg,https://www.flickr.com/photos/24406544@N00/17011999502
35,"48.857112, 2.361652",48.857112,2.361652,Paris 4ème (PA_35) https://live.staticflickr.com/65535/48570102437_65069841ae_m.jpg,https://www.flickr.com/photos/24406544@N00/48570102437
39,"48.848359, 2.346611",48.848359,2.346611,Paris 5ème (PA_39) https://live.staticflickr.com/7864/46608338254_bb46437d9a_m.jpg,https://www.flickr.com/photos/24406544@N00/46608338254
40,"48.847069, 2.348166",48.847069,2.348166,Rue de la Montagne Ste-Geneviève (PA_040) https://live.staticflickr.com/133/356128560_08ce5e186b_m.jpg,https://www.flickr.com/photos/24406544@N00/356128560
44,"48.853625, 2.338467",48.853625,2.338467,Rue de l'Ancienne Comédi (PA_044) https://live.staticflickr.com/48/143435559_3a377e836f_m.jpg,https://www.flickr.com/photos/24406544@N00/143435559
46,"48.852270, 2.339100",48.852270,2.339100,Paris 6ème (PA_46) https://live.staticflickr.com/4849/45340012794_fd95e150cb_m.jpg,https://www.flickr.com/photos/24406544@N00/45340012794
47,"48.851605, 2.377916",48.851605,2.377916,Paris 11ème (PA_47) https://live.staticflickr.com/1755/42530282081_a993a63ec4_m.jpg,https://www.flickr.com/photos/24406544@N00/42530282081
48,"48.855884, 2.369248",48.855884,2.369248,Paris 11ème (PA_48) https://live.staticflickr.com/4857/44479610220_48461e1aa1_m.jpg,https://www.flickr.com/photos/24406544@N00/44479610220
51,"48.852884, 2.374387",48.852884,2.374387,Paris 11ème (PA_51) https://live.staticflickr.com/65535/47582902652_00c8d62a37_m.jpg,https://www.flickr.com/photos/24406544@N00/47582902652
55,"48.827830, 2.352844",48.827830,2.352844,Rue du Moulin des Près (PA_055) https://live.staticflickr.com/8595/28248059206_3783122103_m.jpg,https://www.flickr.com/photos/24406544@N00/28248059206
56,"48.828770, 2.351557",48.828770,2.351557,Paris 13ème (PA_056) https://live.staticflickr.com/3217/2741442757_b396135135_m.jpg,https://www.flickr.com/photos/24406544@N00/2741442757
61,"48.866355, 2.347258",48.866355,2.347258,Paris 2ème (PA_061) https://live.staticflickr.com/8541/29035035970_9dc2252b8f_m.jpg,https://www.flickr.com/photos/24406544@N00/29035035970
62,"48.867469, 2.346325",48.867469,2.346325,Paris 2ème (PA_062) https://live.staticflickr.com/7721/28664763613_a2da6972d8_m.jpg,https://www.flickr.com/photos/24406544@N00/28664763613
64,"48.864707, 2.297204",48.864707,2.297204,Paris 16ème (PA_64) https://live.staticflickr.com/4834/45480738305_cf2701f68a_m.jpg,https://www.flickr.com/photos/24406544@N00/45480738305
65,"48.853166, 2.373905",48.853166,2.373905,Paris 11ème (PA_65) https://live.staticflickr.com/4871/45564162245_ce5067da2b_m.jpg,https://www.flickr.com/photos/24406544@N00/45564162245
66,"48.885638, 2.338077",48.885638,2.338077,Paris 18ème (PA_066) https://live.staticflickr.com/4162/34297628180_50f91229b2_m.jpg,https://www.flickr.com/photos/24406544@N00/34297628180
67,"48.885638, 2.338075",48.885638,2.338075,Paris 18ème (PA_067) https://live.staticflickr.com/4163/34552116741_89298bd17f_m.jpg,https://www.flickr.com/photos/24406544@N00/34552116741
71,"48.854813, 2.359030",48.854813,2.359030,Paris 4ème (PA_071) https://live.staticflickr.com/2882/33911332736_0cf4f48dbd_m.jpg,https://www.flickr.com/photos/24406544@N00/33911332736
72,"48.861611, 2.367547",48.861611,2.367547,Paris 11ème (PA_072) https://live.staticflickr.com/7773/29747668095_b4c24a02dd_m.jpg,https://www.flickr.com/photos/24406544@N00/29747668095
74,"48.860232, 2.362017",48.860232,2.362017,Rue des Coutures St-Gervais (PA_074) https://live.staticflickr.com/185/419857500_d0f1acce60_m.jpg,https://www.flickr.com/photos/24406544@N00/419857500
75,"48.834370, 2.332438",48.834370,2.332438,Paris 14ème (PA_075) https://live.staticflickr.com/1932/43260734560_4910d44ff5_m.jpg,https://www.flickr.com/photos/24406544@N00/43260734560
76,"48.838346, 2.357060",48.838346,2.357060,Paris 13ème (PA_076) https://live.staticflickr.com/65535/49555863336_848f64615f_m.jpg,https://www.flickr.com/photos/24406544@N00/49555863336
78,"48.828963, 2.352905",48.828963,2.352905,Paris 13ème (PA_078) https://live.staticflickr.com/7271/28106541092_ab8c0e0cc0_m.jpg,https://www.flickr.com/photos/24406544@N00/28106541092
79,"48.827877, 2.351455",48.827877,2.351455,Paris 13ème (PA_079) https://live.staticflickr.com/2892/34093068282_736a6aab01_m.jpg,https://www.flickr.com/photos/24406544@N00/34093068282
80,"48.881663, 2.330766",48.881663,2.330766,Paris 9ème (PA_080) https://live.staticflickr.com/5569/31470259165_e558f4a89b_m.jpg,https://www.flickr.com/photos/24406544@N00/31470259165
81,"48.864883, 2.377927",48.864883,2.377927,Paris 11ème (PA_081) https://live.staticflickr.com/8422/29170219821_1af7da0d99_m.jpg,https://www.flickr.com/photos/24406544@N00/29170219821
82,"48.846897, 2.408533",48.846897,2.408533,Paris 12ème (PA_82) https://live.staticflickr.com/4906/44223937120_ec9e403849_m.jpg,https://www.flickr.com/photos/24406544@N00/44223937120
85,"48.853216, 2.378110",48.853216,2.378110,Paris 11ème (PA_85) https://live.staticflickr.com/7888/45794356074_8220ef4144_m.jpg,https://www.flickr.com/photos/24406544@N00/45794356074
89,"48.862618, 2.346364",48.862618,2.346364,Paris 1èr (PA_089) https://live.staticflickr.com/65535/48728399493_23cebd9b28_m.jpg,https://www.flickr.com/photos/24406544@N00/48728399493
90,"48.863736, 2.348972",48.863736,2.348972,Paris 1èr (PA_90) https://live.staticflickr.com/4858/31469894147_95629ffb6b_m.jpg,https://www.flickr.com/photos/24406544@N00/31469894147
91,"48.853244, 2.376340",48.853244,2.376340,Paris 11ème (PA_91) https://live.staticflickr.com/65535/49830342071_3c90d45272_m.jpg,https://www.flickr.com/photos/24406544@N00/49830342071
94,"48.847109, 2.332438",48.847109,2.332438,Paris 6ème (PA_094) https://live.staticflickr.com/65535/48608327671_2e5d9b61a6_m.jpg,https://www.flickr.com/photos/24406544@N00/48608327671
97,"48.839391, 2.389183",48.839391,2.389183,Paris 12ème (PA_97) https://live.staticflickr.com/65535/49102223887_0594273885_m.jpg,https://www.flickr.com/photos/24406544@N00/49102223887
98,"48.853258, 2.343521",48.853258,2.343521,Paris 6ème (PA_098) https://live.staticflickr.com/1916/44138032585_72fe267279_m.jpg,https://www.flickr.com/photos/24406544@N00/44138032585
99,"48.853195, 2.343746",48.853195,2.343746,Paris 6ème (PA_099) https://live.staticflickr.com/1902/30104502147_bb7caca018_m.jpg,https://www.flickr.com/photos/24406544@N00/30104502147
100,"48.872380, 2.364061",48.872380,2.364061,Quai de Valmy (PA_100) https://live.staticflickr.com/8724/16609259370_1ea9092398_m.jpg,https://www.flickr.com/photos/24406544@N00/16609259370
102,"48.840030, 2.362077",48.840030,2.362077,Paris 13ème (PA_102) https://live.staticflickr.com/8051/29414710001_ba137f8ffd_m.jpg,https://www.flickr.com/photos/24406544@N00/29414710001
104,"48.853470, 2.414363",48.853470,2.414363,Porte de Montreuil (PA_104) https://live.staticflickr.com/65535/49280486143_926b3257e2_m.jpg,https://www.flickr.com/photos/24406544@N00/49280486143
105,"48.867533, 2.363800",48.867533,2.363800,Place de la République (PA_105) https://live.staticflickr.com/1933/44640977425_f64be31a50_m.jpg,https://www.flickr.com/photos/24406544@N00/44640977425
107,"48.859491, 2.293031",48.859491,2.293031,Quai Branly (PA_107) https://live.staticflickr.com/65535/48834128966_c607c86653_m.jpg,https://www.flickr.com/photos/24406544@N00/48834128966
108,"48.859414, 2.293385",48.859414,2.293385,Quai Branly (PA_108) https://live.staticflickr.com/1235/726917642_c39b3bf1c3_m.jpg,https://www.flickr.com/photos/24406544@N00/726917642
110,"48.862788, 2.351347",48.862788,2.351347,Paris 3ème (PA_110) https://live.staticflickr.com/7338/27742155722_8850c9e176_m.jpg,https://www.flickr.com/photos/24406544@N00/27742155722
111,"48.891611, 2.344605",48.891611,2.344605,Paris 18ème (PA_111) https://live.staticflickr.com/1823/42700790364_c6d80dcc5b_m.jpg,https://www.flickr.com/photos/24406544@N00/42700790364
116,"48.854748, 2.372682",48.854748,2.372682,Paris 11ème (PA_116) https://live.staticflickr.com/4838/45777507514_cff93d89f5_m.jpg,https://www.flickr.com/photos/24406544@N00/45777507514
119,"48.859809, 2.403484",48.859809,2.403484,Paris 20ème (PA_119) https://live.staticflickr.com/4731/25302033378_ee8ee0511f_m.jpg,https://www.flickr.com/photos/24406544@N00/25302033378
120,"48.869463, 2.367227",48.869463,2.367227,Paris 10ème (PA_120) https://live.staticflickr.com/7382/27910741516_61e71b0bdf_m.jpg,https://www.flickr.com/photos/24406544@N00/27910741516
123,"48.838773, 2.375503",48.838773,2.375503,Paris 12ème (PA_123) https://live.staticflickr.com/65535/50238451732_c3163d83cd_m.jpg,https://www.flickr.com/photos/24406544@N00/50238451732
125,"48.839589, 2.395759",48.839589,2.395759,Place Félix Eboué (PA_125) https://live.staticflickr.com/136/359326588_bf5886f049_m.jpg,https://www.flickr.com/photos/24406544@N00/359326588
126,"48.859449, 2.292516",48.859449,2.292516,Pont d'Iéna (PA_126) https://live.staticflickr.com/65535/48685118307_613fdf4a9e_m.jpg,https://www.flickr.com/photos/24406544@N00/48685118307
128,"48.852030, 2.373690",48.852030,2.373690,Paris 11ème (PA_128) https://live.staticflickr.com/1966/44535787905_c94b1d6b44_m.jpg,https://www.flickr.com/photos/24406544@N00/44535787905
132,"48.856250, 2.405500",48.856250,2.405500,Paris 20ème (PA_132) https://live.staticflickr.com/8461/29329870966_472bafc821_m.jpg,https://www.flickr.com/photos/24406544@N00/29329870966
135,"48.860536, 2.333521",48.860536,2.333521,Paris 1èr (PA_135) https://live.staticflickr.com/65535/49248840941_f64e88364b_m.jpg,https://www.flickr.com/photos/24406544@N00/49248840941
144,"48.860091, 2.350795",48.860091,2.350795,Paris 4ème (PA_144) https://live.staticflickr.com/7143/6847196455_c452dbba3d_m.jpg,https://www.flickr.com/photos/24406544@N00/6847196455
146,"48.834247, 2.355494",48.834247,2.355494,Rue Véronèse (PA_146) https://live.staticflickr.com/3055/3029514578_5590dec82a_m.jpg,https://www.flickr.com/photos/24406544@N00/3029514578
147,"48.842905, 2.365847",48.842905,2.365847,Gare d'Austerlitz (PA_147) https://live.staticflickr.com/3191/2936019424_e20260a63b_m.jpg,https://www.flickr.com/photos/24406544@N00/2936019424
148,"48.855679, 2.350623",48.855679,2.350623,Space Invaders (PA_148 Ghost) https://live.staticflickr.com/4098/5602735340_9c71e828cc_m.jpg,https://www.flickr.com/photos/57661287@N02/5602735340
149,"48.854688, 2.362952",48.854688,2.362952,Paris 4ème (PA_149) https://live.staticflickr.com/974/41858553032_8c98931f10_m.jpg,https://www.flickr.com/photos/24406544@N00/41858553032
154,"48.841722, 2.400938",48.841722,2.400938,Paris 12ème (PA_154) https://live.staticflickr.com/8199/29391578645_54b9983ecf_m.jpg,https://www.flickr.com/photos/24406544@N00/29391578645
156,"48.859908, 2.354303",48.859908,2.354303,Rue Simon Le Franc (PA_156) https://live.staticflickr.com/217/500022963_2594bbfe6c_m.jpg,https://www.flickr.com/photos/24406544@N00/500022963
158,"48.860613, 2.363844",48.860613,2.363844,Paris 3ème (PA_158) https://live.staticflickr.com/4218/35455567240_865d96db1b_m.jpg,https://www.flickr.com/photos/24406544@N00/35455567240
159,"48.876097, 2.350988",48.876097,2.350988,Paris 10ème (PA_159) https://live.staticflickr.com/1894/44748526132_af17a2464f_m.jpg,https://www.flickr.com/photos/24406544@N00/44748526132
160,"48.885369, 2.340597",48.885369,2.340597,Rue A. Barsacq (PA_160) https://live.staticflickr.com/37/107104418_104eecc489_m.jpg,https://www.flickr.com/photos/24406544@N00/107104418
162,"48.884613, 2.370569",48.884613,2.370569,Paris 19ème (PA_162) https://live.staticflickr.com/8250/28975829444_7f6b6954b6_m.jpg,https://www.flickr.com/photos/24406544@N00/28975829444
165,"48.887677, 2.340686",48.887677,2.340686,Rue Cortot (PA_165) https://live.staticflickr.com/94/227993196_45d0862314_m.jpg,https://www.flickr.com/photos/24406544@N00/227993196
167,"48.865411, 2.336716",48.865411,2.336716,Rue Molière (PA_167) https://live.staticflickr.com/1976/45007419314_545bdf255a_m.jpg,https://www.flickr.com/photos/24406544@N00/45007419314
168,"48.865519, 2.336686",48.865519,2.336686,Paris 1er (PA_168) https://live.staticflickr.com/3092/2610904795_2bc0c1bf67_m.jpg,https://www.flickr.com/photos/24406544@N00/2610904795
170,"48.886077, 2.341268",48.886077,2.341268,Rue Saint-Éleuthère (PA_170) https://live.staticflickr.com/65535/50167775892_4f4bac1078_m.jpg,https://www.flickr.com/photos/24406544@N00/50167775892
171,"48.885463, 2.343177",48.885463,2.343177,Square Louise-Michel (PA_171) https://live.staticflickr.com/65535/50162868728_32ac9ace14_m.jpg,https://www.flickr.com/photos/24406544@N00/50162868728
172,"48.891200, 2.331869",48.891200,2.331869,Paris 18ème (PA_172) https://live.staticflickr.com/926/42486216625_5d375c9f0e_m.jpg,https://www.flickr.com/photos/24406544@N00/42486216625
174,"48.841583, 2.282302",48.841583,2.282302,Paris 15ème (PA_174) https://live.staticflickr.com/65535/50180886132_88b00e47d3_m.jpg,https://www.flickr.com/photos/24406544@N00/50180886132
176,"48.849025, 2.330916",48.849025,2.330916,Paris 6ème (PA_176) https://live.staticflickr.com/8300/28641757693_b2bc4594ed_m.jpg,https://www.flickr.com/photos/24406544@N00/28641757693
178,"48.874694, 2.305936",48.874694,2.305936,Paris 8ème (PA_178) https://live.staticflickr.com/7773/29406951242_a4801cd5b3_m.jpg,https://www.flickr.com/photos/24406544@N00/29406951242
182,"48.850974, 2.331912",48.850974,2.331912,Rue Madame (PA_182) https://live.staticflickr.com/3386/3446302971_42fe9cf84c_m.jpg,https://www.flickr.com/photos/24406544@N00/3446302971
183,"48.850338, 2.331880",48.850338,2.331880,Paris 5ème (PA_183) https://live.staticflickr.com/7282/16820847395_7dc8b72d1e_m.jpg,https://www.flickr.com/photos/24406544@N00/16820847395
188,"48.857684, 2.360622",48.857684,2.360622,Rue des Francs Bourgeois (PA_188) https://live.staticflickr.com/110/292378275_31307408c3_m.jpg,https://www.flickr.com/photos/24406544@N00/292378275
190,"48.860225, 2.403733",48.860225,2.403733,Paris 20ème (PA_190) https://live.staticflickr.com/902/41156351662_8bb172524d_m.jpg,https://www.flickr.com/photos/24406544@N00/41156351662
194,"48.860084, 2.377295",48.860084,2.377295,Rue du Chemin Vert (PA_194) https://live.staticflickr.com/122/278877912_10ca93bc99_m.jpg,https://www.flickr.com/photos/24406544@N00/278877912
195,"48.900819, 2.344669",48.900819,2.344669,Paris 18ème (PA_195) https://live.staticflickr.com/7510/28455531981_7783029941_m.jpg,https://www.flickr.com/photos/24406544@N00/28455531981
196,"48.883784, 2.368927",48.883784,2.368927,Boulevard de la Villette (PA_196) https://live.staticflickr.com/65535/49186211043_27fe23c3af_m.jpg,https://www.flickr.com/photos/24406544@N00/49186211043
197,"48.886547, 2.332383",48.886547,2.332383,Paris 18ème (PA_197) https://live.staticflickr.com/5684/22118827296_5c27b3963a_m.jpg,https://www.flickr.com/photos/24406544@N00/22118827296
200,"48.844475, 2.372617",48.844475,2.372617,Gare de Lyon (PA_200) https://live.staticflickr.com/173/373168921_aa5212819d_m.jpg,https://www.flickr.com/photos/24406544@N00/373168921
202,"48.828469, 2.388356",48.828469,2.388356,Pont National (PA_202) https://live.staticflickr.com/65535/50210015536_4260f9f30a_m.jpg,https://www.flickr.com/photos/24406544@N00/50210015536
204,"48.889763, 2.396017",48.889763,2.396017,Paris 19ème (PA_204) https://live.staticflickr.com/65535/48808381057_4a37b882ec_m.jpg,https://www.flickr.com/photos/24406544@N00/48808381057
205,"48.878066, 2.351711",48.878066,2.351711,Paris 10ème (PA_205) https://live.staticflickr.com/3875/18839606135_36a39d2fce_m.jpg,https://www.flickr.com/photos/24406544@N00/18839606135
210,"48.885291, 2.359539",48.885291,2.359539,Rue Marx Dormoy (PA_210) https://live.staticflickr.com/65535/49460930278_88a749276b_m.jpg,https://www.flickr.com/photos/24406544@N00/49460930278
211,"48.852461, 2.371677",48.852461,2.371677,Rue du Faubourg Saint-Antoine (PA_211) https://live.staticflickr.com/1740/42502676632_5103d94b6c_m.jpg,https://www.flickr.com/photos/24406544@N00/42502676632
212,"48.857055, 2.393058",48.857055,2.393058,Paris 11ème (PA_212) https://live.staticflickr.com/885/40391776714_19752d573c_m.jpg,https://www.flickr.com/photos/24406544@N00/40391776714
216,"48.821699, 2.342416",48.821699,2.342416,Rue de l'Amiral Mouchez (PA_216) https://live.staticflickr.com/60/162874656_83d7341d12_m.jpg,https://www.flickr.com/photos/24406544@N00/162874656
219,"48.819538, 2.373508",48.819538,2.373508,Porte d'Ivry (PA_219) https://live.staticflickr.com/4523/24073474817_5c54958408_m.jpg,https://www.flickr.com/photos/24406544@N00/24073474817
222,"48.871116, 2.374433",48.871116,2.374433,Paris 11ème (PA_222) https://live.staticflickr.com/8424/29503711026_f5c70ae993_m.jpg,https://www.flickr.com/photos/24406544@N00/29503711026
223,"48.848263, 2.376093",48.848263,2.376093,Rue Abel (PA_223) https://live.staticflickr.com/179/368843373_1b1c2b20c0_m.jpg,https://www.flickr.com/photos/24406544@N00/368843373
227,"48.874277, 2.353016",48.874277,2.353016,Paris 10ème (PA_227) https://live.staticflickr.com/65535/49045188698_1dcdac684d_m.jpg,https://www.flickr.com/photos/24406544@N00/49045188698
233,"48.844472, 2.276315",48.844472,2.276315,Rue des Cévennes (PA_233) https://live.staticflickr.com/65535/50185841166_c3f754863b_m.jpg,https://www.flickr.com/photos/24406544@N00/50185841166
235,"48.863581, 2.364088",48.863581,2.364088,Rue de Normandie (PA_235) https://live.staticflickr.com/65535/50144629633_94907c5639_m.jpg,https://www.flickr.com/photos/24406544@N00/50144629633
237,"48.873515, 2.296925",48.873515,2.296925,Paris 8ème (PA_237) https://live.staticflickr.com/65535/48657085353_85cb9f0c2e_m.jpg,https://www.flickr.com/photos/24406544@N00/48657085353
238,"48.866076, 2.307429",48.866076,2.307429,Paris 8ème (PA_238) https://live.staticflickr.com/1952/45137253042_eea0491082_m.jpg,https://www.flickr.com/photos/24406544@N00/45137253042
242,"48.844560, 2.406724",48.844560,2.406724,Paris 12ème (PA_242) https://live.staticflickr.com/7049/6967970432_8d796722b9_m.jpg,https://www.flickr.com/photos/24406544@N00/6967970432
243,"48.846763, 2.375085",48.846763,2.375085,Paris 12ème (PA_243) https://live.staticflickr.com/3215/2926699344_9e7846e452_m.jpg,https://www.flickr.com/photos/24406544@N00/2926699344
250,"48.868808, 2.367339",48.868808,2.367339,Paris 10ème (PA_250) https://live.staticflickr.com/4656/28104808949_3cccbefed1_m.jpg,https://www.flickr.com/photos/24406544@N00/28104808949
